Tiempo,Angulo,Xcom,Ycom,Zcom,x_acc_robot,y_acc_robot,z_acc_robot,angulo_x,angulo_y,angulo_z,aceleracion_x,aceleracion_y,aceleracion_z,velocidad_angular_x,velocidad_angular_y,velocidad_angular_z,campo_magnetico_x,campo_magnetico_y,campo_magnetico_z,seno_x,seno_z,coseno_z,Xzmp-Juanlo,Yzmp-Juanlo,Xzmp_b,Xzmp_c,Xzmp_off,Yzmp_b,fx0,fy0,fz0,mx0,my0,mz0,Xzmp0,Yzmp0,fx1,fy1,fz1,mx1,my1,mz1,Xzmp1,Yzmp1,Xzmp-Loli,Yzmp-Loli,evalx.y,eval_x.zmp_error,eval_x.zmp_ref,eval_x._u,eval_x._x1[0],eval_x._x2[0],angle_x,xzmp01,yzmp01,xzmp11,yzmp11,xzmp2,yzmp2,XzmpLoli2,ZMPref_mm,eval_x.zmp_ref_mm,evalx.y_mm,angle_ref,zmp_ref,iteraciones
0.30,0.00,0,0,89.27,0.00,0.00,0.00,179.45,0.76,14.50,-0.24,0.10,-9.87,-0.03,0.37,0.02,0.43,0.11,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.61901855,0.68994141,-179.37683105,41.11376953,213.74688721,2.00494385,0.12268810,-0.02304438,-26.80187988,-8.27178955,-341.48986816,91.46484375,-76.61718750,-25.68713379,-0.02496730,-0.02600288,-0.00004203,-0.02498402,-0.000000062730884,0.000042034313083,0.000000000000000,-0.0000001886,0.0000000010,0.0000000031,0.00,1.20,-0.23,-0.23,-0.27,0.26,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,11
0.33,0.00,0,0,89.27,0.00,0.00,0.00,179.45,0.77,14.50,-0.17,0.12,-9.84,-0.42,0.18,-0.45,0.43,0.10,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.36749268,0.38330078,-179.17053223,41.05981445,213.69342041,2.06115723,0.12275425,-0.02298560,-26.72229004,-8.21228027,-341.27746582,91.68359375,-76.48046875,-25.68713379,-0.02493526,-0.02608878,-0.00001455,-0.02502047,0.000000001078200,0.000014547258615,0.000000000000000,0.0000000074,0.0000000010,-0.0000000023,-0.00,1.20,-0.23,-0.23,-0.27,0.26,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,12
0.36,0.00,0,0,89.27,0.00,0.00,0.00,179.45,0.76,14.52,-0.15,0.13,-9.81,0.27,0.21,-0.87,0.43,0.10,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.69641113,0.76660156,-179.53155518,40.89794922,213.63995361,1.83630371,0.12253670,-0.02291808,-26.48352051,-8.29162598,-341.06506348,91.45117188,-76.76757812,-25.38537598,-0.02501239,-0.02602938,-0.00004818,-0.02495643,-0.000000059845760,0.000048184767365,0.000000000000000,-0.0000001799,0.0000000010,-0.0000000019,0.00,1.19,-0.23,-0.23,-0.27,0.26,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,13
0.39,0.00,0,0,89.27,0.00,0.00,0.00,179.44,0.76,14.53,-0.24,0.11,-9.78,-0.22,-0.00,-0.62,0.43,0.10,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.46423340,0.53662109,-179.58312988,41.05981445,213.69342041,1.91125488,0.12248959,-0.02296033,-27.29931641,-7.99407959,-341.22436523,91.65625000,-76.34375000,-25.46081543,-0.02495361,-0.02610545,-0.00002963,-0.02502096,-0.000000006977361,0.000029627233744,0.000000000000000,-0.0000000181,0.0000000008,-0.0000000071,0.00,1.19,-0.23,-0.23,-0.27,0.26,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,14
0.42,0.00,0,0,89.27,0.00,0.00,0.00,179.44,0.77,14.53,-0.14,0.11,-9.73,0.74,0.64,-0.03,0.43,0.10,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.36749268,0.26831055,-178.96423340,40.97888184,213.89392090,2.07989502,0.12300779,-0.02294616,-26.06567383,-8.41064453,-341.96777344,91.58789062,-76.80859375,-25.76257324,-0.02491895,-0.02598942,-0.00001510,-0.02494392,0.000000004567185,0.000015098601580,0.000000000000000,0.0000000165,0.0000000006,-0.0000000075,-0.00,1.20,-0.23,-0.23,-0.27,0.26,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,15
0.45,0.00,0,0,89.27,0.00,0.00,0.00,179.44,0.77,14.53,-0.17,0.11,-9.75,-0.16,0.18,-0.26,0.44,0.10,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.46423340,0.38330078,-179.37683105,41.11376953,213.73352051,2.00494385,0.12265282,-0.02298925,-26.88146973,-8.37097168,-341.27746582,91.58789062,-76.58984375,-25.38537598,-0.02498234,-0.02604574,-0.00003245,-0.02499271,-0.000000026631755,0.000032451003790,0.000000000000000,-0.0000000802,0.0000000004,-0.0000000069,0.00,1.20,-0.23,-0.23,-0.27,0.26,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,16
0.48,0.00,0,0,89.27,0.00,0.00,0.00,179.43,0.78,14.51,-0.16,0.13,-9.68,-0.51,-0.10,0.93,0.43,0.10,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.44488525,-0.07666016,-179.01580811,40.87097168,213.70678711,2.21105957,0.12288175,-0.02281712,-27.08044434,-8.35113525,-341.06506348,91.47851562,-76.67187500,-25.83801270,-0.02504077,-0.02603177,-0.00003611,-0.02492526,-0.000000016899131,0.000036112964153,0.000000000000000,-0.0000000513,0.0000000001,-0.0000000092,0.00,1.20,-0.23,-0.23,-0.27,0.26,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,17
0.51,0.00,0,0,89.27,0.00,0.00,0.00,179.43,0.78,14.51,-0.11,0.11,-9.79,-0.20,0.00,0.24,0.44,0.10,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.46423340,0.61328125,-179.37683105,40.91143799,213.66668701,1.91125488,0.12261556,-0.02291780,-26.24475098,-8.05358887,-340.85266113,91.60156250,-76.82226562,-25.25335693,-0.02502143,-0.02611224,-0.00002561,-0.02501079,0.000000003613276,0.000025607645512,0.000000000000000,0.0000000105,-0.0000000002,-0.0000000108,-0.00,1.19,-0.23,-0.23,-0.27,0.26,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,18
0.54,0.00,0,0,89.27,0.00,0.00,0.00,179.44,0.77,14.51,-0.01,0.15,-9.77,-0.17,-0.18,-0.17,0.44,0.10,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.59967041,0.21081543,-179.63470459,41.05981445,213.61322021,2.06115723,0.12243409,-0.02289524,-26.34423828,-8.23211670,-341.06506348,91.57421875,-76.57617188,-25.30993652,-0.02494309,-0.02607108,-0.00000925,-0.02497546,0.000000021515802,0.000009249895811,0.000000000000000,0.0000000642,-0.0000000005,-0.0000000105,-0.00,1.19,-0.23,-0.23,-0.27,0.26,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,19
0.57,0.00,0,0,89.27,0.00,0.00,0.00,179.43,0.77,14.51,-0.11,0.06,-9.75,-0.50,0.62,-0.52,0.43,0.10,0.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.83184814,0.15332031,-179.01580811,41.05981445,213.69342041,2.13610840,0.12294400,-0.02296404,-26.24475098,-8.45031738,-341.11816406,91.58789062,-76.52148438,-25.61169434,-0.02491378,-0.02605040,0.00006215,-0.02498816,0.000000108196254,-0.000062152743340,0.000000000000000,0.0000003292,-0.0000000008,-0.0000000087,-0.00,1.20,-0.23,-0.23,-0.27,0.26,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,20
