Tiempo,Angulo,Xcom,Ycom,Zcom,x_acc_robot,y_acc_robot,z_acc_robot,angulo_x,angulo_y,angulo_z,aceleracion_x,aceleracion_y,aceleracion_z,velocidad_angular_x,velocidad_angular_y,velocidad_angular_z,campo_magnetico_x,campo_magnetico_y,campo_magnetico_z,seno_x,seno_z,coseno_z,Xzmp-Juanlo,Yzmp-Juanlo,Xzmp_b,Xzmp_c,Xzmp_off,Yzmp_b,fx0,fy0,fz0,mx0,my0,mz0,Xzmp0,Yzmp0,fx1,fy1,fz1,mx1,my1,mz1,Xzmp1,Yzmp1,Xzmp-Loli,Yzmp-Loli,evalx.y,eval_x.zmp_error,eval_x.zmp_ref,eval_x._u,eval_x._x1[0],eval_x._x2[0],angle_x
0.00,0.00,0,0,89.27,0.00,0.00,0.00,179.06,0.29,13.99,-0.20,0.16,-9.82,0.16,0.27,-0.08,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.70,4.93,-191.70,55.45,217.02,-6.16,0.12,-0.03,-34.38,5.18,-320.62,76.48,-30.78,-30.99,-0.01,-0.02,0.00,-0.03,0.000000000000000,0.000000000000000,0.000000000000000,  0.000000,  0.000000,  0.000000,-0.000000
0.07,0.00,0,0,89.27,0.00,0.00,0.00,179.06,0.29,13.99,0.01,0.15,-9.80,-0.16,0.60,-0.50,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,4.75,-190.57,55.83,217.21,-6.09,0.12,-0.03,-35.30,5.67,-321.36,75.81,-30.06,-31.27,-0.01,-0.02,0.00,-0.03,0.000003880948043,-0.000059578567743,0.000000000000000,  0.000012,  0.000000,  0.000000,-0.000354
0.10,0.00,0,0,89.27,0.00,0.00,0.00,179.06,0.28,13.99,-0.18,0.13,-9.81,-0.52,0.51,0.03,0.39,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,4.77,-190.98,55.96,217.14,-5.94,0.12,-0.03,-35.24,5.32,-322.00,75.95,-30.46,-30.44,-0.01,-0.02,-0.00,-0.03,-0.000010767045751,0.000066321343184,0.000000000000000, -0.000033,  0.000000,  0.000000,0.000981
0.12,0.00,0,0,89.27,0.00,0.00,0.00,179.05,0.28,13.98,-0.11,0.13,-9.82,-0.42,0.02,0.07,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.39,4.93,-190.93,55.91,217.12,-6.09,0.12,-0.03,-34.88,5.87,-321.15,75.67,-30.13,-31.72,-0.01,-0.02,0.00,-0.03,0.000011590319446,-0.000062428414822,0.000000000000000,  0.000036,  0.000000, -0.000001,-0.001056
0.15,0.00,0,0,89.27,0.00,0.00,0.00,179.05,0.28,13.97,0.01,0.11,-9.84,-0.16,0.34,0.40,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.32,5.06,-190.93,55.82,217.13,-6.24,0.12,-0.03,-34.14,5.16,-320.99,75.78,-30.60,-31.19,-0.01,-0.02,0.00,-0.03,-0.000005419034096,-0.000021405518055,0.000000000000000, -0.000017, -0.000000,  0.000000,0.000494
0.18,0.00,0,0,89.27,0.00,0.00,0.00,179.08,0.27,13.97,0.05,0.14,-9.83,0.59,0.68,-0.62,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,5.06,-190.93,55.96,217.16,-6.15,0.12,-0.03,-34.00,5.63,-320.99,75.76,-30.23,-31.65,-0.01,-0.02,0.00,-0.03,0.000003762765346,-0.000088583678007,0.000000000000000,  0.000012,  0.000000, -0.000000,-0.000343
0.22,0.00,0,0,89.27,0.00,0.00,0.00,179.07,0.28,13.98,0.02,0.13,-9.82,-0.48,0.11,-0.69,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.22,4.98,-190.93,55.82,217.12,-6.16,0.12,-0.03,-34.04,4.96,-320.83,75.74,-30.11,-30.87,-0.01,-0.02,0.00,-0.03,-0.000003114173296,-0.000092949718237,0.000000000000000, -0.000010,  0.000000,  0.000000,0.000284
0.25,0.00,0,0,89.27,0.00,0.00,0.00,179.07,0.28,13.99,-0.11,0.16,-9.80,-0.17,0.18,-0.01,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,5.06,-190.52,55.76,217.13,-6.16,0.12,-0.03,-34.34,5.77,-321.21,75.62,-30.17,-31.42,-0.01,-0.02,0.00,-0.03,-0.000005094971129,-0.000062219798565,0.000000000000000, -0.000016,  0.000000,  0.000000,0.000464
0.27,0.00,0,0,89.27,0.00,0.00,0.00,179.07,0.28,14.00,-0.28,0.15,-9.77,0.33,0.49,-0.80,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.22,4.68,-190.57,55.83,217.21,-5.86,0.12,-0.03,-33.95,5.22,-321.05,75.87,-30.35,-31.04,-0.01,-0.02,0.00,-0.03,-0.000001229842269,-0.000062957406044,0.000000000000000, -0.000004,  0.000000, -0.000000,0.000112
0.30,0.00,0,0,89.27,0.00,0.00,0.00,179.08,0.29,13.99,0.01,0.12,-9.80,0.00,0.05,0.07,0.37,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.37,4.68,-190.57,55.78,217.17,-5.94,0.12,-0.03,-35.68,5.18,-321.15,75.70,-30.27,-30.95,-0.01,-0.02,-0.00,-0.03,-0.000007209337127,0.000031996518373,0.000000000000000, -0.000022, -0.000000, -0.000001,0.000657
0.34,0.00,0,0,89.27,0.00,0.00,0.00,179.08,0.29,14.00,0.02,0.12,-9.79,-0.09,0.78,-0.79,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,4.91,-190.72,55.83,217.21,-6.09,0.12,-0.03,-34.88,5.69,-321.15,75.73,-30.19,-31.42,-0.01,-0.02,0.00,-0.03,0.000006989590474,-0.000024043023586,0.000000000000000,  0.000021, -0.000000, -0.000001,-0.000637
0.36,0.00,0,0,89.27,0.00,0.00,0.00,179.07,0.29,14.00,-0.15,0.20,-9.80,-0.41,0.46,-0.30,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,4.77,-190.77,55.76,217.08,-5.94,0.12,-0.03,-34.66,4.92,-321.21,76.03,-30.45,-30.52,-0.01,-0.02,-0.00,-0.03,-0.000003698529554,0.000042412430048,0.000000000000000, -0.000012, -0.000000, -0.000001,0.000337
0.39,0.00,0,0,89.27,0.00,0.00,0.00,179.07,0.30,13.99,-0.17,0.13,-9.79,0.03,-0.39,0.05,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.37,4.45,-190.77,55.83,217.16,-5.94,0.12,-0.03,-34.64,5.79,-320.94,75.56,-30.21,-31.57,-0.01,-0.02,0.00,-0.03,0.000008896793588,-0.000039838254452,0.000000000000000,  0.000027, -0.000000, -0.000001,-0.000811
0.42,0.00,0,0,89.27,0.00,0.00,0.00,179.08,0.31,13.98,0.02,0.18,-9.82,0.25,-0.02,0.15,0.37,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.45,4.93,-190.72,55.91,217.12,-6.01,0.12,-0.03,-34.98,5.57,-320.73,75.80,-30.06,-31.12,-0.01,-0.02,0.00,-0.03,0.000000883246059,-0.000058729201555,0.000000000000000,  0.000002, -0.000000, -0.000000,-0.000080
0.45,0.00,0,0,89.27,0.00,0.00,0.00,179.09,0.31,13.98,0.03,0.15,-9.82,0.07,0.01,-0.62,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,5.08,-190.93,56.01,217.14,-6.09,0.12,-0.03,-34.50,5.44,-321.84,75.96,-30.38,-30.89,-0.01,-0.02,-0.00,-0.03,-0.000008996387805,0.000063914805651,0.000000000000000, -0.000028, -0.000000, -0.000000,0.000820
0.48,0.00,0,0,89.27,0.00,0.00,0.00,179.09,0.30,13.99,-0.07,0.14,-9.77,0.37,0.57,-0.21,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.39,5.00,-191.34,55.95,217.06,-6.09,0.12,-0.03,-34.90,5.65,-321.15,75.95,-30.13,-31.12,-0.01,-0.02,-0.00,-0.03,0.000006778446732,0.000029392540455,0.000000000000000,  0.000020, -0.000000, -0.000001,-0.000618
0.51,0.00,0,0,89.27,0.00,0.00,0.00,179.10,0.30,13.98,0.00,0.14,-9.79,-0.05,0.22,-0.15,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.37,4.79,-191.14,55.86,216.97,-6.01,0.12,-0.03,-34.50,5.61,-321.63,75.96,-30.37,-31.19,-0.01,-0.02,-0.00,-0.03,-0.000000904651813,0.000082716345787,0.000000000000000, -0.000003, -0.000000, -0.000000,0.000082
0.56,0.00,0,0,89.27,0.00,0.00,0.00,179.10,0.30,13.98,0.00,0.11,-9.78,-0.07,0.41,-0.33,0.37,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.45,4.79,-191.60,55.96,217.05,-6.01,0.12,-0.03,-34.26,5.36,-321.84,76.04,-30.58,-30.89,-0.01,-0.02,-0.00,-0.03,0.000001615597284,0.000128805637360,0.000000000000000,  0.000004, -0.000000, -0.000001,-0.000147
0.58,0.00,0,0,89.27,0.00,0.00,0.00,179.09,0.31,13.99,0.02,0.14,-9.83,0.24,0.22,-0.15,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.22,4.85,-191.14,55.86,217.06,-6.01,0.12,-0.03,-33.83,5.00,-321.47,75.71,-30.83,-31.04,-0.01,-0.02,-0.00,-0.03,0.000008043972230,0.000098314136267,0.000000000000000,  0.000024, -0.000000, -0.000000,-0.000733
0.61,0.00,0,0,89.27,0.00,0.00,0.00,179.11,0.31,13.99,-0.02,0.14,-9.77,-0.04,0.78,-0.58,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.37,4.70,-190.77,55.91,217.10,-5.94,0.12,-0.03,-34.80,5.28,-322.06,76.06,-30.60,-30.74,-0.01,-0.02,-0.00,-0.03,0.000003427777074,0.000106491148472,0.000000000000000,  0.000010, -0.000000,  0.000000,-0.000312
0.65,0.00,0,0,89.27,0.00,0.00,0.00,179.10,0.31,13.98,0.09,0.16,-9.78,-0.18,0.57,0.15,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.14,4.93,-190.77,55.95,217.05,-6.01,0.12,-0.03,-34.96,5.51,-321.84,76.00,-30.60,-30.97,-0.01,-0.02,-0.00,-0.03,0.000002811360218,0.000120885670185,0.000000000000000,  0.000008, -0.000000,  0.000000,-0.000256
0.67,0.00,0,0,89.27,0.00,0.00,0.00,179.10,0.32,14.00,-0.08,0.14,-9.78,-0.39,-0.24,-0.96,0.37,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.45,4.87,-191.14,55.86,217.02,-5.94,0.12,-0.03,-34.64,5.61,-320.78,75.71,-30.28,-31.42,-0.01,-0.02,0.00,-0.03,0.000013102984667,-0.000022098422050,0.000000000000000,  0.000040, -0.000000,  0.000001,-0.001194
0.70,0.00,0,0,89.27,0.00,0.00,0.00,179.10,0.32,14.00,-0.21,0.13,-9.83,-0.17,-0.00,-0.58,0.37,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.45,4.54,-190.57,55.96,217.01,-5.86,0.12,-0.03,-35.38,5.47,-320.94,76.04,-30.26,-30.89,-0.01,-0.02,0.00,-0.03,-0.000004025744147,-0.000006359070539,0.000000000000000, -0.000013, -0.000000,  0.000002,0.000367
0.74,0.00,0,0,89.27,0.00,0.00,0.00,179.10,0.32,14.00,0.02,0.14,-9.82,0.40,0.11,-0.45,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.37,4.87,-190.77,56.01,216.99,-6.01,0.12,-0.03,-35.58,5.59,-321.58,75.88,-30.37,-31.42,-0.01,-0.02,-0.00,-0.03,-0.000008320356756,0.000089358538389,0.000000000000000, -0.000026, -0.000000,  0.000001,0.000758
0.76,0.00,0,0,89.27,0.00,0.00,0.00,179.10,0.32,14.01,0.01,0.16,-9.85,-0.13,0.21,-0.04,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.55,5.04,-190.72,55.94,216.83,-6.16,0.12,-0.03,-34.82,5.44,-321.21,76.06,-30.60,-30.82,-0.01,-0.02,-0.00,-0.03,0.000003094716249,0.000075180083513,0.000000000000000,  0.000009, -0.000000,  0.000001,-0.000282
0.82,0.00,0,0,89.27,0.00,0.00,0.00,179.11,0.32,14.01,-0.11,0.14,-9.79,-0.14,0.15,-0.63,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.32,5.10,-191.34,55.95,216.97,-6.09,0.12,-0.03,-35.20,5.36,-322.00,75.77,-30.47,-30.97,-0.01,-0.02,-0.00,-0.03,-0.000004045005880,0.000154633074999,0.000000000000000, -0.000013, -0.000000,  0.000001,0.000369
0.84,0.00,0,0,89.27,0.00,0.00,0.00,179.11,0.32,14.01,-0.14,0.14,-9.74,0.06,-0.16,-0.09,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.47,4.77,-191.14,55.95,217.06,-6.09,0.12,-0.03,-34.78,5.81,-321.79,75.50,-30.54,-31.65,-0.01,-0.02,-0.00,-0.03,0.000008972056094,0.000081826001406,0.000000000000000,  0.000028, -0.000000,  0.000001,-0.000817
0.87,0.00,0,0,89.27,0.00,0.00,0.00,179.10,0.32,14.01,-0.03,0.12,-9.77,-0.46,0.57,-0.25,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.53,4.94,-190.93,55.79,216.83,-6.09,0.12,-0.03,-34.52,5.40,-320.99,75.58,-30.78,-31.12,-0.01,-0.02,-0.00,-0.03,0.000000470160074,0.000079616904259,0.000000000000000,  0.000002,  0.000000,  0.000001,-0.000043
0.90,0.00,0,0,89.27,0.00,0.00,0.00,179.11,0.31,14.01,0.17,0.18,-9.80,0.05,0.29,-0.33,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.55,4.89,-191.14,55.74,216.83,-6.09,0.12,-0.03,-34.62,5.63,-321.63,75.65,-30.42,-31.50,-0.01,-0.02,-0.00,-0.03,0.000000503445960,0.000070825219154,0.000000000000000,  0.000002,  0.000000,  0.000001,-0.000046
0.93,0.00,0,0,89.27,0.00,0.00,0.00,179.11,0.32,14.02,-0.01,0.16,-9.82,-0.22,-0.03,-0.78,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,4.77,-190.98,55.96,217.05,-6.01,0.12,-0.03,-34.82,4.86,-321.63,75.81,-30.73,-30.21,-0.01,-0.02,-0.00,-0.03,-0.000002913982371,0.000104542821646,0.000000000000000, -0.000009,  0.000000,  0.000001,0.000265
0.96,0.00,0,0,89.27,0.00,0.00,0.00,179.12,0.32,14.02,0.15,0.13,-9.85,0.03,-0.13,-0.21,0.37,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.24,4.93,-190.93,55.75,217.02,-6.09,0.12,-0.03,-33.45,5.08,-321.05,75.66,-30.78,-30.82,-0.01,-0.02,0.00,-0.03,0.000007897530850,-0.000008527189493,0.000000000000000,  0.000025,  0.000000,  0.000001,-0.000720
0.99,0.00,0,0,89.27,0.00,0.00,0.00,179.12,0.33,14.02,-0.25,0.16,-9.77,-0.65,-0.25,-0.13,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.91,4.68,-190.98,55.99,217.33,-6.00,0.12,-0.03,-34.90,5.83,-322.21,76.06,-30.49,-31.21,-0.01,-0.02,-0.00,-0.03,-0.000009798348401,0.000069372355938,0.000000000000000, -0.000029,  0.000000,  0.000002,0.000893
1.02,0.00,0,0,89.27,0.00,0.00,0.00,179.12,0.34,14.02,-0.14,0.17,-9.82,-0.35,-0.62,0.07,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.53,5.10,-191.14,55.98,216.78,-6.16,0.12,-0.03,-34.72,5.36,-321.42,75.85,-30.57,-30.89,-0.01,-0.02,-0.00,-0.03,-0.000002739193633,0.000094935297966,0.000000000000000, -0.000007,  0.000000,  0.000001,0.000250
1.06,0.00,0,0,89.27,0.00,0.00,0.00,179.12,0.34,14.02,-0.18,0.14,-9.78,-0.00,0.16,0.28,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.53,4.58,-191.39,56.10,216.89,-5.86,0.12,-0.03,-35.70,5.65,-321.79,75.91,-30.19,-31.12,-0.01,-0.02,-0.00,-0.03,-0.000000538762947,0.000100955367088,0.000000000000000, -0.000001,  0.000000,  0.000001,0.000049
1.08,0.00,0,0,89.27,0.00,0.00,0.00,179.12,0.35,14.03,0.04,0.18,-9.75,-0.27,0.46,-0.78,0.37,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.47,5.10,-191.34,56.01,217.01,-6.09,0.12,-0.03,-35.06,5.67,-321.15,75.89,-30.17,-31.19,-0.01,-0.02,0.00,-0.03,0.000006943851531,-0.000008702278137,0.000000000000000,  0.000023,  0.000000,  0.000001,-0.000633
1.12,0.00,0,0,89.27,0.00,0.00,0.00,179.12,0.34,14.03,0.10,0.18,-9.85,0.58,0.79,-0.13,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.55,5.04,-191.14,56.03,216.86,-6.09,0.12,-0.03,-34.06,5.47,-320.36,75.51,-30.24,-31.57,-0.01,-0.02,0.00,-0.03,0.000000737635673,-0.000100634992123,0.000000000000000,  0.000004,  0.000000,  0.000002,-0.000067
1.15,0.00,0,0,89.27,0.00,0.00,0.00,179.12,0.35,14.03,-0.32,0.16,-9.85,-0.70,0.26,-0.20,0.37,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.47,4.83,-191.39,56.03,216.75,-5.94,0.12,-0.03,-34.96,5.36,-321.21,75.82,-30.42,-31.12,-0.01,-0.02,-0.00,-0.03,-0.000021310477678,0.000090178102255,0.000000000000000, -0.000064,  0.000000,  0.000002,0.001942
1.18,0.00,0,0,89.27,0.00,0.00,0.00,179.10,0.35,14.02,-0.07,0.12,-9.79,-0.27,-0.23,0.35,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.45,4.87,-191.19,56.01,216.99,-5.94,0.12,-0.03,-34.54,5.57,-321.84,75.59,-30.57,-31.42,-0.01,-0.02,-0.00,-0.03,0.000001166145012,0.000075124204159,0.000000000000000,  0.000005,  0.000000,  0.000000,-0.000106
1.20,0.00,0,0,89.27,0.00,0.00,0.00,179.10,0.36,14.02,-0.10,0.13,-9.79,-0.35,0.47,0.28,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.07,5.00,-190.72,55.91,217.10,-6.01,0.12,-0.03,-35.32,5.06,-320.73,75.87,-30.15,-30.52,-0.01,-0.02,0.00,-0.03,0.000008197710486,-0.000062566250563,0.000000000000000,  0.000027,  0.000000,  0.000000,-0.000747
1.23,0.00,0,0,89.27,0.00,0.00,0.00,179.10,0.36,14.02,-0.09,0.10,-9.81,0.01,-0.33,-0.37,0.37,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.22,4.93,-190.93,55.95,217.10,-6.01,0.12,-0.03,-35.30,5.49,-321.36,75.99,-30.30,-30.97,-0.01,-0.02,-0.00,-0.03,-0.000011875497876,0.000013735145330,0.000000000000000, -0.000035,  0.000000,  0.000001,0.001082
1.26,0.00,0,0,89.27,0.00,0.00,0.00,179.09,0.36,14.02,-0.30,0.15,-9.79,-0.15,0.18,-0.13,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.45,4.79,-190.98,55.95,216.95,-5.94,0.12,-0.03,-35.52,6.09,-321.95,75.69,-30.15,-31.57,-0.01,-0.02,-0.00,-0.03,-0.000005674406111,0.000054657459259,0.000000000000000, -0.000015,  0.000000,  0.000000,0.000517
1.29,0.00,0,0,89.27,0.00,0.00,0.00,179.09,0.36,14.01,-0.11,0.13,-9.87,0.16,0.24,-0.13,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.37,4.79,-190.98,55.80,216.97,-5.94,0.12,-0.03,-34.20,5.26,-321.21,75.52,-30.71,-31.35,-0.01,-0.02,-0.00,-0.03,0.000000383124757,0.000031687319279,0.000000000000000,  0.000003,  0.000001,  0.000000,-0.000035
1.32,0.00,0,0,89.27,0.00,0.00,0.00,179.08,0.36,14.01,-0.02,0.12,-9.76,-0.17,-0.14,-0.55,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.45,5.00,-190.72,56.01,217.10,-6.16,0.12,-0.03,-33.89,5.28,-320.99,75.44,-30.49,-31.65,-0.01,-0.02,0.00,-0.03,0.000005866434549,-0.000092372298241,0.000000000000000,  0.000020,  0.000001,  0.000000,-0.000534
1.35,0.00,0,0,89.27,0.00,0.00,0.00,179.08,0.36,14.00,0.22,0.15,-9.75,-0.05,-0.12,0.06,0.37,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.24,5.00,-190.93,55.95,216.97,-6.09,0.12,-0.03,-33.71,5.22,-321.68,75.93,-30.56,-30.89,-0.01,-0.02,-0.00,-0.03,-0.000014256290342,0.000010885298252,0.000000000000000, -0.000042,  0.000001,  0.000001,0.001299
1.38,0.00,0,0,89.27,0.00,0.00,0.00,179.08,0.36,14.00,-0.11,0.14,-9.75,0.21,0.21,-0.44,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.07,5.06,-190.93,56.02,217.20,-6.15,0.12,-0.03,-34.06,5.57,-320.78,75.41,-30.24,-31.55,-0.01,-0.02,0.00,-0.03,0.000006257499081,-0.000121001154184,0.000000000000000,  0.000021,  0.000001, -0.000000,-0.000570
1.41,0.00,0,0,89.27,0.00,0.00,0.00,179.08,0.36,14.01,0.22,0.16,-9.74,-0.07,0.18,-0.15,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.22,4.85,-191.19,56.02,217.18,-6.09,0.12,-0.03,-34.58,5.02,-321.63,75.88,-30.38,-30.67,-0.01,-0.02,-0.00,-0.03,-0.000016276115275,0.000007484108210,0.000000000000000, -0.000048,  0.000001,  0.000001,0.001483
1.44,0.00,0,0,89.27,0.00,0.00,0.00,179.08,0.36,14.01,0.04,0.12,-9.83,-0.07,0.27,0.08,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.24,5.17,-190.93,55.88,216.91,-6.16,0.12,-0.03,-34.42,5.51,-321.21,75.87,-30.35,-31.12,-0.01,-0.02,0.00,-0.03,-0.000000761281967,-0.000003907829523,0.000000000000000, -0.000000,  0.000001, -0.000001,0.000069
1.48,0.00,0,0,89.27,0.00,0.00,0.00,179.08,0.37,14.01,-0.22,0.17,-9.86,-0.46,-0.36,-0.50,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.53,5.16,-190.72,55.71,217.05,-6.16,0.12,-0.03,-35.90,5.75,-321.52,76.00,-29.72,-30.89,-0.01,-0.02,0.00,-0.03,0.000002327893071,-0.000069130212069,0.000000000000000,  0.000009,  0.000001, -0.000001,-0.000212
1.50,0.00,0,0,89.27,0.00,0.00,0.00,179.08,0.37,14.01,-0.08,0.12,-9.83,-0.12,0.68,-0.04,0.37,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.45,4.85,-190.52,55.82,217.12,-5.94,0.12,-0.03,-34.46,5.63,-321.21,75.65,-30.42,-31.57,-0.01,-0.02,0.00,-0.03,-0.000004779899882,-0.000066287815571,0.000000000000000, -0.000013,  0.000000, -0.000000,0.000436
1.54,0.00,0,0,89.27,0.00,0.00,0.00,179.09,0.37,14.00,0.13,0.11,-9.82,0.09,0.06,0.02,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.22,4.83,-190.57,55.88,217.25,-5.92,0.12,-0.03,-34.42,5.04,-320.99,75.81,-30.42,-30.82,-0.01,-0.02,0.00,-0.03,-0.000002328293021,-0.000091418623924,0.000000000000000, -0.000005,  0.000000, -0.000001,0.000212
1.57,0.00,0,0,89.27,0.00,0.00,0.00,179.08,0.37,14.01,-0.10,0.16,-9.79,-0.50,-0.03,-0.78,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.14,5.08,-191.14,55.96,217.16,-6.16,0.12,-0.03,-34.40,5.38,-321.21,75.77,-30.34,-31.27,-0.01,-0.02,0.00,-0.03,-0.000008480703400,-0.000031620264053,0.000000000000000, -0.000024,  0.000000, -0.000001,0.000773
1.59,0.00,0,0,89.27,0.00,0.00,0.00,179.09,0.37,14.02,-0.23,0.16,-9.79,0.21,0.26,-0.62,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.45,4.94,-191.14,55.95,216.95,-6.01,0.12,-0.03,-34.42,5.51,-321.21,75.87,-30.37,-31.04,-0.01,-0.02,0.00,-0.03,-0.000003136484111,-0.000005383044481,0.000000000000000, -0.000008,  0.000000, -0.000001,0.000286
1.63,0.00,0,0,89.27,0.00,0.00,0.00,179.10,0.37,14.02,-0.01,0.13,-9.83,0.29,0.32,0.09,0.37,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.22,5.00,-190.72,55.90,217.01,-6.09,0.12,-0.03,-33.43,5.75,-321.26,75.66,-30.54,-31.80,-0.01,-0.02,0.00,-0.03,0.000003069340892,-0.000053975731134,0.000000000000000,  0.000011,  0.000000, -0.000001,-0.000280
1.65,0.00,0,0,89.27,0.00,0.00,0.00,179.09,0.37,14.01,-0.05,0.14,-9.73,-0.26,0.63,-0.09,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.30,5.08,-190.93,55.95,217.06,-6.09,0.12,-0.03,-33.53,5.49,-321.05,75.82,-30.47,-31.50,-0.01,-0.02,0.00,-0.03,-0.000000665694984,-0.000076800584793,0.000000000000000, -0.000001,  0.000000, -0.000001,0.000061
1.69,0.00,0,0,89.27,0.00,0.00,0.00,179.09,0.38,14.01,-0.10,0.16,-9.72,-0.69,-0.09,-0.58,0.38,0.09,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.53,4.54,-190.98,55.96,217.05,-5.94,0.12,-0.03,-34.22,5.32,-320.99,75.65,-30.42,-31.35,-0.01,-0.02,0.00,-0.03,-0.000004191823336,-0.000055730342865,0.000000000000000, -0.000012,  0.000000, -0.000001,0.000382
