Time,ang_x_imu,pid_output_ankle,pid_output_hip,zmp_ref,zmp_imu,Xzmp_ft,capture_point,iter
2.36,179.3863677979,0.6852475616,0.6852475616,0.0000000000,-0.02776932,-0.00002071,-0.0332996666,49
2.41,179.3723754883,0.6996019192,0.6996019192,0.0000000000,-0.02781546,-0.00002071,-0.0337234062,50
2.46,179.3852539062,0.7021229214,0.7021229214,0.0000000000,-0.02787980,-0.00002071,-0.0333069833,51
2.51,179.4037628174,0.7056264681,0.7056264681,0.0000000000,-0.02796935,-0.00002071,-0.0327815527,52
2.56,179.4018859863,0.6989263642,0.6989263642,0.0000000000,-0.02793991,-0.00002050,-0.0332014433,53
2.61,179.4252624512,0.6886307714,0.6886307714,0.0000000000,-0.02778293,-0.00002050,-0.0319165056,54
2.66,179.4211425781,0.7007094970,0.7007094970,0.0000000000,-0.02784461,-0.00001525,-0.0327618794,55
2.71,179.4170379639,0.6957395228,0.6957395228,0.0000000000,-0.02781595,-0.00001525,-0.0327619203,56
2.76,179.4068908691,0.7253459241,0.7253459241,0.0000000000,-0.02819401,-0.00001272,-0.0345058049,57
2.81,179.4085235596,0.6904393222,0.6904393222,0.0000000000,-0.02797889,-0.00001272,-0.0329278614,58
2.86,179.4047546387,0.6979884318,0.6979884318,0.0000000000,-0.02793622,-0.00001272,-0.0330775779,59
2.91,179.4082489014,0.7306772654,0.7306772654,0.0000000000,-0.02834603,-0.00001019,-0.0344992253,60
2.96,179.4085540771,0.6965851975,0.6965851975,0.0000000000,-0.02816551,-0.00000760,-0.0330271071,61
3.01,179.3863067627,0.7018390827,0.7018390827,0.0000000000,-0.02811474,-0.00000642,-0.0344349053,62
3.06,179.3804626465,0.7110610945,0.7110610945,0.0000000000,-0.02820565,-0.00000383,-0.0331590847,63
3.11,179.3778686523,0.7109844549,0.7109844549,0.0000000000,-0.02826345,-0.00000383,-0.0339693856,64
3.16,179.3876647949,0.7178870157,0.7178870157,0.0000000000,-0.02838990,-0.00000790,-0.0343836666,65
3.21,179.3837585449,0.7157206195,0.7157206195,0.0000000000,-0.02845314,-0.00000272,-0.0329629003,66
3.26,179.3886260986,0.7404745326,0.7404745326,0.0000000000,-0.02882041,-0.00000406,-0.0353593699,67
3.31,179.3829498291,0.7207153873,0.7207153873,0.0000000000,-0.02880876,0.00000212,-0.0340239599,68
3.36,179.3830261230,0.7025206262,0.7025206262,0.0000000000,-0.02855437,0.00000212,-0.0335720108,69
3.41,179.3782501221,0.7211918625,0.7211918625,0.0000000000,-0.02862718,-0.00000448,-0.0336386230,70
3.46,179.3923034668,0.6995095925,0.6995095925,0.0000000000,-0.02839885,0.00000329,-0.0330963482,71
3.51,179.4068145752,0.7171804321,0.7171804321,0.0000000000,-0.02847016,-0.00000367,-0.0342745664,72
3.56,179.4135894775,0.6855235979,0.6855235979,0.0000000000,-0.02810789,0.00000389,-0.0331234943,73
3.61,179.4109191895,0.7143154889,0.7143154889,0.0000000000,-0.02824532,0.00000389,-0.0343052468,74
3.66,179.4082336426,0.7202189429,0.7202189429,0.0000000000,-0.02840507,-0.00000658,-0.0343763360,75
3.71,179.4136505127,0.7062987120,0.7062987120,0.0000000000,-0.02834449,0.00000498,-0.0327873282,76
3.76,179.4211425781,0.7206946684,0.7206946684,0.0000000000,-0.02847477,-0.00000856,-0.0346843386,77
3.81,179.4082031250,0.6968720116,0.6968720116,0.0000000000,-0.02825304,-0.00000856,-0.0329524116,78
3.86,179.4146118164,0.7196229257,0.7196229257,0.0000000000,-0.02841735,0.00000021,-0.0348565854,79
3.91,179.4294891357,0.7039725765,0.7039725765,0.0000000000,-0.02830036,-0.00001179,-0.0335667806,80
3.96,179.4327545166,0.6964663492,0.6964663492,0.0000000000,-0.02813793,-0.00000424,-0.0326494356,81
4.01,179.4437408447,0.7197031423,0.7197031423,0.0000000000,-0.02833442,-0.00000424,-0.0342419375,82
4.06,179.4491119385,0.7358239499,0.7358239499,0.0000000000,-0.02866413,-0.00002029,-0.0357737950,83
4.11,179.4508056641,0.7352667819,0.7352667819,0.0000000000,-0.02889319,-0.00001412,-0.0343504169,84
4.16,179.4576873779,0.7269708363,0.7269708363,0.0000000000,-0.02892027,-0.00002492,-0.0339983586,85
4.21,179.4586334229,0.7370394706,0.7370394706,0.0000000000,-0.02907972,-0.00002492,-0.0349202662,86
4.26,179.4630889893,0.7197979701,0.7197979701,0.0000000000,-0.02894380,-0.00003724,-0.0344708067,87
4.31,179.4485778809,0.7235514235,0.7235514235,0.0000000000,-0.02891149,-0.00003724,-0.0337052409,88
4.36,179.4423828125,0.7343379050,0.7343379050,0.0000000000,-0.02903475,-0.00003623,-0.0348757201,89
4.41,179.4361267090,0.7268627902,0.7268627902,0.0000000000,-0.02900458,-0.00004821,-0.0349686173,90
4.46,179.4345550537,0.7351968293,0.7351968293,0.0000000000,-0.02910354,-0.00004821,-0.0345047115,91
4.51,179.4318237305,0.7149368619,0.7149368619,0.0000000000,-0.02890200,-0.00004563,-0.0341073237,92
4.56,179.4375305176,0.7306640303,0.7306640303,0.0000000000,-0.02896621,-0.00005507,-0.0342982128,93
4.61,179.4316864014,0.7081612300,0.7081612300,0.0000000000,-0.02871255,-0.00005786,-0.0329709813,94
4.66,179.4311218262,0.7036658623,0.7036658623,0.0000000000,-0.02848265,-0.00006073,-0.0331798926,95
4.71,179.4132995605,0.7477889947,0.7477889947,0.0000000000,-0.02891953,-0.00006073,-0.0358973395,96
4.76,179.4063415527,0.6973549914,0.6973549914,0.0000000000,-0.02853574,-0.00006331,-0.0329177215,97
4.81,179.3962707520,0.7279435779,0.7279435779,0.0000000000,-0.02868699,-0.00006584,-0.0347781492,98
4.86,179.4003295898,0.7078640138,0.7078640138,0.0000000000,-0.02851921,-0.00006842,-0.0325866228,99
4.91,179.4156036377,-1.4235337425,-1.4235337425,0.0000000000,0.00000000,-0.00006842,-0.0039425556,100
4.96,179.4170532227,0.0058802157,0.0058802157,0.0000000000,-0.00005553,-0.00006842,-0.0053841441,101
5.01,179.4011688232,0.0056790819,0.0056790819,0.0000000000,-0.00008605,-0.00007221,-0.0063084005,102
5.06,179.4023132324,0.0162953536,0.0162953536,0.0000000000,-0.00025293,-0.00006969,-0.0066958085,103
5.11,179.4045562744,-0.0137873907,-0.0137873907,0.0000000000,0.00003856,-0.00006969,-0.0043102740,104
5.16,179.4156188965,-0.0038392598,-0.0038392598,0.0000000000,0.00009866,-0.00006822,-0.0054189283,105
5.21,179.4324188232,0.0067696476,0.0067696476,0.0000000000,-0.00000174,-0.00006822,-0.0050167964,106
5.26,179.4255828857,0.0003777025,0.0003777025,0.0000000000,0.00001638,-0.00006802,-0.0060768868,107
5.31,179.4198913574,-0.0019130878,-0.0019130878,0.0000000000,0.00005373,-0.00006262,-0.0043953084,108
5.36,179.4153137207,-0.0238266515,-0.0238266515,0.0000000000,0.00037428,-0.00006262,-0.0040073276,109
5.41,179.4164276123,0.0068962219,0.0068962219,0.0000000000,0.00017830,-0.00006262,-0.0061004336,110
5.46,179.4080657959,-0.0212023064,-0.0212023064,0.0000000000,0.00041823,-0.00005857,-0.0025140401,111
5.51,179.4194488525,-0.0158769242,-0.0158769242,0.0000000000,0.00050977,-0.00005857,-0.0046365233,112
