Time,iter,angle_r_e_f_1,zmp_r_e_f_1,zmp_f_t_1,angle_r_e_f_2,zmp_r_e_f_2,zmp_f_t_2,angle_r_e_f_3,zmp_r_e_f_3,zmp_f_t_3,angle_r_e_f_4,zmp_r_e_f_4,zmp_f_t_4,angle_r_e_f_5,zmp_r_e_f_5,zmp_f_t_5,angle_r_e_f_6,zmp_r_e_f_6,zmp_f_t_6,angle_r_e_f_7,zmp_r_e_f_7,zmp_f_t_7,angle_r_e_f_8,zmp_r_e_f_8,zmp_f_t_8,angle_r_e_f_9,zmp_r_e_f_9,zmp_f_t_9,angle_r_e_f_1_0,zmp_r_e_f_1_0,zmp_f_t_1_0
6.85,221,0,0,0.00002586,0,0,-0.00004854,0,0,-0.00008013,0,0,-0.0001373,0,0,0.00007768,0,0,-0.0000411,0,0,0.00002826,0,0,-0.00001037,0,0,-0.00003147,0,0,-0.0000905
6.88,222,0,0,0.0000503,0,0,0.00001669,0,0,0.00000688,0,0,-0.00021126,0,0,-0.00002704,0,0,0.00001976,0,0,-0.00005703,0,0,-0.00003909,0,0,-0.00008474,0,0,-0.00003463
6.91,223,0,0,0.00009334,0,0,-0.0000034,0,0,-0.00010074,0,0,-0.0002513,0,0,-0.00001177,0,0,-0.00001621,0,0,-0.00002948,0,0,-0.00004955,0,0,-0.0000596,0,0,-0.00012792
6.94,224,0,0,-0.00005613,0,0,-0.0000528,0,0,-0.00010501,0,0,-0.00015166,0,0,-0.00001666,0,0,0.00001188,0,0,0.00000221,0,0,-0.00000918,0,0,-0.00002404,0,0,0.00002559
6.97,225,0,0,0.00002865,0,0,-0.00000328,0,0,-0.00002434,0,0,-0.00017795,0,0,-0.00008618,0,0,0.00006668,0,0,-0.00000794,0,0,-0.00000104,0,0,-0.00005911,0,0,0.00000913
7,226,0,0,0.00006514,0,0,-0.0000715,0,0,-0.00000404,0,0,-0.00022827,0,0,-0.00003398,0,0,-0.00004074,0,0,0.00006302,0,0,-0.00001534,0,0,-0.00004102,0,0,-0.00009413
7.04,227,0,0,0.00002467,0,0,-0.00005258,0,0,-0.00005046,0,0,-0.0001944,0,0,0.0000011,0,0,-0.00002956,0,0,-0.00003319,0,0,-0.00003324,0,0,-0.00006986,0,0,-0.00001707
7.07,228,0,0,0.00003134,0,0,-0.00003769,0,0,-0.00005948,0,0,-0.00014866,0,0,-0.00001757,0,0,0.00002591,0,0,-0.0000546,0,0,-0.00005517,0,0,-0.0001038,0,0,0.00003755
7.1,229,0,0,-0.0000255,0,0,0.00007003,0,0,-0.00010434,0,0,-0.00014865,0,0,0.00001598,0,0,0.00004582,0,0,-0.00008732,0,0,-0.00007726,0,0,0.00000525,0,0,0.00006201
7.12,230,0,0,0.0000186,0,0,-0.00004756,0,0,-0.00006283,0,0,-0.00026521,0,0,-0.0000555,0,0,-0.00005456,0,0,0.00000561,0,0,0.00005603,0,0,-0.00009418,0,0,0.00000426
