Tiempo,Angulo,Xcom,Ycom,Zcom,x_acc_robot,y_acc_robot,z_acc_robot,angulo_x,angulo_y,angulo_z,aceleracion_x,aceleracion_y,aceleracion_z,velocidad_angular_x,velocidad_angular_y,velocidad_angular_z,campo_magnetico_x,campo_magnetico_y,campo_magnetico_z,seno_x,seno_z,coseno_z,Xzmp-Juanlo,Yzmp-Juanlo,Xzmp_b,Xzmp_c,Xzmp_off,Yzmp_b,fx0,fy0,fz0,mx0,my0,mz0,Xzmp0,Yzmp0,fx1,fy1,fz1,mx1,my1,mz1,Xzmp1,Yzmp1,Xzmp-Loli,Yzmp-Loli,evalx.y,eval_x.zmp_error,eval_x.zmp_ref,eval_x._u,eval_x._x1[0],eval_x._x2[0],angle_x,xzmp01,yzmp01,xzmp11,yzmp11,xzmp2,yzmp2,XzmpLoli2,ZMPref_mm,eval_x.zmp_ref_mm,evalx.y_mm,angle_ref,zmp_ref,iteraciones
0.30,0.00,0,0,89.27,0.00,0.00,0.00,178.97,1.23,10.73,-0.33,0.16,-9.80,-0.45,0.12,-0.10,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.29425049,4.81042480,-167.51464844,53.72576904,207.11700439,-0.74951172,0.12504542,-0.03299838,-27.83654785,-5.07812500,-325.13488770,68.98828125,-111.48046875,-20.53839111,-0.03704855,-0.02071466,-0.00003547,-0.02489147,0.000000063462998,0.000035472214222,0.000000000000000,-0.0000000078,-0.0000000505,-0.0000002216,-0.00,1.24,-0.32,-0.35,-0.21,0.19,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,11
0.33,0.00,0,0,89.27,0.00,0.00,0.00,178.96,1.22,10.72,-0.33,0.17,-9.78,-0.32,-0.04,0.09,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.59771729,5.30871582,-167.25677490,53.64483643,207.42443848,-0.95562744,0.12528771,-0.03309695,-28.07531738,-5.07812500,-325.29418945,68.68750000,-111.45312500,-20.46295166,-0.03704567,-0.02061205,-0.00002303,-0.02485158,0.000000353672107,0.000023033469915,0.000000000000000,0.0000008559,-0.0000000574,-0.0000002331,-0.00,1.24,-0.32,-0.35,-0.21,0.19,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,12
0.36,0.00,0,0,89.27,0.00,0.00,0.00,178.95,1.22,10.70,-0.09,0.21,-9.99,-0.67,0.48,-0.75,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.21685791,5.17456055,-167.51464844,53.63134766,207.23730469,-0.88067627,0.12510234,-0.03301213,-28.31408691,-5.21697998,-325.93139648,68.89257812,-111.48046875,-20.61383057,-0.03700526,-0.02062093,-0.00006870,-0.02482748,-0.000000435944258,0.000068703666329,0.000000000000000,-0.0000015957,-0.0000000641,-0.0000002202,0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,13
0.38,0.00,0,0,89.27,0.00,0.00,0.00,178.96,1.22,10.70,-0.15,0.20,-9.89,0.23,0.23,-0.49,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.82989502,5.38537598,-167.30834961,53.73925781,207.35760498,-1.03057861,0.12525390,-0.03315796,-27.91613770,-5.05828857,-325.55969238,68.86523438,-111.65820312,-20.53839111,-0.03706268,-0.02065180,-0.00005432,-0.02489713,0.000000009599731,0.000054318457842,0.000000000000000,-0.0000002579,-0.0000000717,-0.0000002822,-0.00,1.24,-0.32,-0.35,-0.21,0.19,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,14
0.42,0.00,0,0,89.27,0.00,0.00,0.00,178.95,1.21,10.71,-0.37,0.15,-9.88,-0.41,0.58,-0.49,0.46,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67510986,5.09790039,-167.51464844,53.88763428,207.34423828,-0.88067627,0.12506188,-0.03315036,-28.25439453,-4.68139648,-325.29418945,68.71484375,-111.34375000,-20.38751221,-0.03702980,-0.02065979,-0.00002176,-0.02490556,0.000000649052879,0.000021763145924,0.000000000000000,0.0000016701,-0.0000000805,-0.0000003058,-0.00,1.24,-0.32,-0.35,-0.21,0.19,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,15
0.45,0.00,0,0,89.27,0.00,0.00,0.00,178.95,1.22,10.71,-0.41,0.17,-9.82,-0.17,-0.58,-0.90,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.13946533,4.88708496,-167.56622314,53.68530273,207.21057129,-0.65582275,0.12503299,-0.03297884,-29.10998535,-5.09796143,-325.50659180,68.89257812,-111.13867188,-20.68927002,-0.03702740,-0.02065964,-0.00003989,-0.02484620,0.000000294641552,0.000039886683226,0.000000000000000,0.0000005472,-0.0000000891,-0.0000002734,-0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,16
0.48,0.00,0,0,89.27,0.00,0.00,0.00,178.95,1.22,10.72,-0.17,0.17,-9.79,-0.22,-0.19,-0.29,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.57836914,4.52294922,-166.94732666,53.72576904,207.53137207,-0.65582275,0.12558027,-0.03305499,-28.63244629,-5.07812500,-325.29418945,68.71484375,-111.26171875,-20.68927002,-0.03704206,-0.02062046,0.00002380,-0.02483772,0.000001472823669,-0.000023804605007,0.000000000000000,0.0000041316,-0.0000000974,-0.0000002765,-0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,17
0.50,0.00,0,0,89.27,0.00,0.00,0.00,178.95,1.23,10.72,-0.23,0.19,-9.82,0.03,0.29,-0.61,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67510986,4.84875488,-167.35992432,53.80670166,207.43780518,-0.65582275,0.12523340,-0.03308464,-27.79675293,-5.15747070,-325.77209473,68.79687500,-111.35742188,-20.23663330,-0.03693437,-0.02060753,0.00001293,-0.02484204,0.000001082340077,-0.000012930482626,0.000000000000000,0.0000029057,-0.0000001041,-0.0000001736,-0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,-0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,18
0.53,0.00,0,0,89.27,0.00,0.00,0.00,178.94,1.23,10.72,-0.07,0.13,-9.81,-0.52,0.43,-0.27,0.47,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.82989502,5.38537598,-167.10205078,53.83367920,207.26403809,-1.03057861,0.12535255,-0.03325541,-28.33398438,-5.23681641,-325.29418945,68.78320312,-111.11132812,-20.53839111,-0.03696624,-0.02062574,0.00002806,-0.02491181,0.000001273203679,-0.000028062611818,0.000000000000000,0.0000034748,-0.0000001083,-0.0000001087,-0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,19
0.57,0.00,0,0,89.27,0.00,0.00,0.00,178.94,1.23,10.71,-0.28,0.14,-9.72,-0.04,0.18,0.41,0.46,0.07,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.13946533,5.38537598,-167.10205078,53.79321289,207.35760498,-0.80572510,0.12546828,-0.03323119,-28.33398438,-4.93927002,-324.65698242,68.74218750,-110.96093750,-20.61383057,-0.03699247,-0.02068315,0.00011538,-0.02494703,0.000002649939915,-0.000115379691124,0.000000000000000,0.0000076937,-0.0000001103,-0.0000000274,-0.00,1.24,-0.32,-0.34,-0.21,0.19,-0.25,0.00,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,20
