Tiempo,Angulo,Xcom,Ycom,Zcom,x_acc_robot,y_acc_robot,z_acc_robot,angulo_x,angulo_y,angulo_z,aceleracion_x,aceleracion_y,aceleracion_z,velocidad_angular_x,velocidad_angular_y,velocidad_angular_z,campo_magnetico_x,campo_magnetico_y,campo_magnetico_z,seno_x,seno_z,coseno_z,Xzmp-Juanlo,Yzmp-Juanlo,Xzmp_b,Xzmp_c,Xzmp_off,Yzmp_b,fx0,fy0,fz0,mx0,my0,mz0,Xzmp0,Yzmp0,fx1,fy1,fz1,mx1,my1,mz1,Xzmp1,Yzmp1,Xzmp-Loli,Yzmp-Loli,evalx.y,eval_x.zmp_error,eval_x.zmp_ref,eval_x._u,eval_x._x1[0],eval_x._x2[0],angle_x,xzmp01,yzmp01,xzmp11,yzmp11,xzmp2,yzmp2,XzmpLoli2,ZMPref_mm,eval_x.zmp_ref_mm,evalx.y_mm
0.36,0.00,0,0,89.27,0.00,0.00,0.00,179.09,0.77,13.13,-0.31,0.33,-9.82,0.03,0.10,0.20,0.44,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.92767334,0.61328125,-171.89849854,66.05450439,199.39105225,2.06115723,0.11673035,-0.03854152,-23.12084961,-5.85174561,-318.81591797,73.63671875,-78.42187500,-20.67041016,-0.02693665,-0.02250500,0.00253985,-0.02812264,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.16,-0.38,-0.25,-0.23,0.25,-0.28,0.03,0.000000000000000,0.0000000000,-258096896.0000000000
0.38,0.00,0,0,89.27,0.00,0.00,0.00,179.09,0.76,13.13,-0.21,0.29,-9.75,0.14,1.11,0.46,0.45,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79937744,1.59069824,-168.18511963,64.24700928,201.32922363,1.44281006,0.12005196,-0.03850520,-21.15100098,-5.93109131,-318.44421387,72.43359375,-75.82421875,-20.84014893,-0.02595287,-0.02214542,0.00335297,-0.02779957,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.20,-0.38,-0.24,-0.23,0.26,-0.28,0.04,0.000000000000000,0.0000000000,-258096896.0000000000
0.42,0.00,0,0,89.27,0.00,0.00,0.00,179.09,0.75,13.10,0.03,0.26,-9.84,0.08,1.05,0.12,0.44,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.39306641,2.12731934,-167.51464844,63.59954834,202.33172607,1.23669434,0.12105269,-0.03837611,-21.29028320,-4.91943359,-318.97521973,71.29882812,-74.42968750,-21.63226318,-0.02548656,-0.02185509,0.00352297,-0.02754382,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.21,-0.38,-0.24,-0.22,0.26,-0.28,0.04,0.000000000000000,0.0000000000,-258096896.0000000000
0.44,0.00,0,0,89.27,0.00,0.00,0.00,179.09,0.73,13.11,0.08,0.12,-9.78,0.08,0.43,-0.10,0.44,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01934814,1.87817383,-163.54339600,61.33343506,204.35009766,1.06805420,0.12495542,-0.03787322,-23.55859375,-4.16564941,-319.45312500,68.55078125,-72.73437500,-20.70812988,-0.02514673,-0.02103825,0.00392719,-0.02673860,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.25,-0.38,-0.23,-0.21,0.27,-0.27,0.04,0.000000000000000,0.0000000000,-258096896.0000000000
0.47,0.00,0,0,89.27,0.00,0.00,0.00,179.10,0.72,13.10,-0.04,0.05,-9.72,0.47,0.07,-0.75,0.45,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36761475,0.95825195,-162.30560303,60.28131104,204.60406494,1.44281006,0.12613405,-0.03733103,-23.93664551,-3.84826660,-321.09924316,68.12695312,-71.95507812,-20.76470947,-0.02481309,-0.02083029,0.00384278,-0.02637049,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.26,-0.37,-0.23,-0.21,0.27,-0.27,0.04,0.000000000000000,0.0000000000,-258096896.0000000000
0.50,0.00,0,0,89.27,0.00,0.00,0.00,179.11,0.72,13.14,-0.11,0.27,-9.70,0.20,0.18,-0.14,0.44,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.65783691,0.63244629,-159.67529297,58.36590576,204.83129883,1.12426758,0.12841275,-0.03668061,-23.18054199,-3.86810303,-324.39147949,65.77539062,-71.76367188,-20.65155029,-0.02442709,-0.01989199,0.00371587,-0.02542992,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.28,-0.37,-0.22,-0.20,0.27,-0.26,0.04,0.000000000000000,0.0000000000,-258096896.0000000000
0.53,0.00,0,0,89.27,0.00,0.00,0.00,179.12,0.71,13.15,-0.12,0.27,-9.66,0.55,0.79,-0.63,0.45,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.89001465,0.01916504,-159.05639648,57.57006836,204.67089844,1.19921875,0.12885866,-0.03619863,-24.43408203,-3.66973877,-325.34729004,64.69531250,-72.03710938,-20.46295166,-0.02456363,-0.01952124,0.00333199,-0.02499735,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.29,-0.36,-0.22,-0.20,0.27,-0.25,0.04,0.000000000000000,0.0000000000,-258096896.0000000000
0.56,0.00,0,0,89.27,0.00,0.00,0.00,179.10,0.70,13.09,-0.55,0.18,-9.79,-0.31,0.69,0.02,0.45,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.71588135,-0.07666016,-157.14813232,56.76074219,205.13873291,1.12426758,0.13068536,-0.03610352,-21.66833496,-2.43988037,-327.36511230,62.13867188,-72.14648438,-20.72698975,-0.02417317,-0.01874110,0.00337416,-0.02437247,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.31,-0.36,-0.22,-0.19,0.27,-0.25,0.04,0.000000000000000,0.0000000000,-258096896.0000000000
0.59,0.00,0,0,89.27,0.00,0.00,0.00,179.10,0.69,13.08,-0.11,0.05,-9.86,-0.14,0.53,-0.59,0.45,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08349609,-0.93908691,-156.78710938,56.38305664,205.12536621,1.27416992,0.13105337,-0.03576837,-22.98156738,-2.20184326,-327.47131348,61.85156250,-72.06445312,-20.87786865,-0.02426961,-0.01867079,0.00316333,-0.02420643,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.31,-0.36,-0.22,-0.19,0.27,-0.24,0.03,0.000000000000000,0.0000000000,-258096896.0000000000
0.62,0.00,0,0,89.27,0.00,0.00,0.00,179.10,0.70,13.10,0.02,0.08,-9.85,0.29,-0.01,0.14,0.44,0.08,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79937744,-0.76660156,-157.81860352,56.66632080,204.48376465,1.25543213,0.12993655,-0.03574933,-23.16064453,-3.35235596,-329.70153809,62.63085938,-73.18554688,-20.89672852,-0.02446299,-0.01866832,0.00253004,-0.02419773,0.000000000000000,0.000000000000000,0.000000000000000,0.0000000000,0.0000000000,0.0000000000,-0.07,1.30,-0.36,-0.22,-0.19,0.27,-0.24,0.03,0.000000000000000,0.0000000000,-258096896.0000000000
