Iteraciones,,Zmp-Ref_1,Zmp-FT_1_1,Zmp-FT_1_2,Zmp-FT_1_3,,Zmp-Ref_2,Zmp-FT_2_1,Zmp-FT_2_2,Zmp-FT_2_3,,Zmp-Ref_3,Zmp-FT_3_1,Zmp-FT_3_2,Zmp-FT_3_3,,Zmp-Ref_4,Zmp-FT_4_1,Zmp-FT_4_2,Zmp-FT_4_3,,Zmp-Ref_5,Zmp-FT_5_1,Zmp-FT_5_2,Zmp-FT_5_3,,Zmp-Ref_6,Zmp-FT_6_1,Zmp-FT_6_2,Zmp-FT_6_3,,Zmp-Ref_7,Zmp-FT_7_1,Zmp-FT_7_2,Zmp-FT_7_3,,Zmp-Ref_8,Zmp-FT_8_1,Zmp-FT_8_2,Zmp-FT_8_3,,Zmp-Ref_9,Zmp-FT_9_1,Zmp-FT_9_2,Zmp-FT_9_3,,Zmp-Ref_10,Zmp-FT_1_0_1,Zmp-FT_1_0_2,Zmp-FT_1_0_3
525,,0.0099999998,0.01102692,0.00766431,0.00876532,,0.02,0.02210791,0.02151444,0.02047219,,0.03,0.03334587,0.02984644,0.0301948,,0.04,0.04403585,0.04031924,0.04160604,,0.05,0.05250678,0.05605786,0.05645762,,0.06,0.06101222,0.06529336,0.06424206,,0.07,0.0713873,0.08006552,0.08307083,,0.08,0.08133472,0.08170013,0.08170361,,0.09,0.09670264,0.10141286,0.09640402,,0.1,0.1080898,0.11735599,0.12035248
526,,0.0099999998,0.01093188,0.00777197,0.00873357,,0.02,0.02204895,0.02138995,0.0205212,,0.03,0.03341766,0.02972317,0.03007865,,0.04,0.044271,0.04040085,0.04166762,,0.05,0.05215326,0.05640917,0.05705902,,0.06,0.0608148,0.06552456,0.06480832,,0.07,0.0712982,0.08022901,0.08199295,,0.08,0.0816177,0.08322894,0.083463,,0.09,0.09633092,0.10010974,0.09611773,,0.1,0.10829747,0.11704446,0.12038729
527,,0.0099999998,0.01103748,0.00777635,0.00864819,,0.02,0.02196792,0.02132815,0.02038835,,0.03,0.03329779,0.02961081,0.0299206,,0.04,0.04447271,0.04039356,0.04179945,,0.05,0.05197383,0.05678254,0.05706307,,0.06,0.0608132,0.06608268,0.06514372,,0.07,0.0713667,0.08006985,0.08120406,,0.08,0.08190192,0.08405492,0.08419682,,0.09,0.09619782,0.0997394,0.09567989,,0.1,0.10897456,0.116779,0.11980513
528,,0.0099999998,0.01094387,0.0078201,0.00874236,,0.02,0.0218814,0.02129939,0.02031365,,0.03,0.03339366,0.02947916,0.02988699,,0.04,0.04456196,0.04037431,0.04173205,,0.05,0.05194034,0.05677878,0.05744352,,0.06,0.06068914,0.06631513,0.06563088,,0.07,0.07120436,0.07964779,0.0801188,,0.08,0.08187453,0.08586535,0.08603005,,0.09,0.09571015,0.0987599,0.09550971,,0.1,0.10931328,0.11605738,0.11958893
529,,0.0099999998,0.01098538,0.00773687,0.00864274,,0.02,0.02192634,0.02140881,0.0201517,,0.03,0.03344049,0.0292948,0.02940283,,0.04,0.0448294,0.04022592,0.04192999,,0.05,0.05175797,0.05682762,0.05753422,,0.06,0.06081202,0.06708459,0.06596363,,0.07,0.07118287,0.07932389,0.07934938,,0.08,0.0818927,0.08699339,0.08655564,,0.09,0.09545649,0.09845777,0.09538826,,0.1,0.10983998,0.1150313,0.11839467
530,,0.0099999998,0.01088658,0.00766683,0.0086364,,0.02,0.02195453,0.02122716,0.02026921,,0.03,0.03335253,0.02918157,0.02944419,,0.04,0.04489486,0.0399286,0.04200814,,0.05,0.05179689,0.05670669,0.05739997,,0.06,0.06095324,0.06707602,0.0665351,,0.07,0.07137088,0.07869343,0.07827283,,0.08,0.0819096,0.08874831,0.08768371,,0.09,0.09519901,0.09873363,0.0949875,,0.1,0.10976814,0.11419849,0.11760008
531,,0.0099999998,0.01088086,0.00777032,0.00870182,,0.02,0.02194386,0.0212136,0.02022069,,0.03,0.03333067,0.0291422,0.02915638,,0.04,0.04517012,0.03978981,0.04218938,,0.05,0.05211668,0.0565063,0.05751412,,0.06,0.06109656,0.06757259,0.06670055,,0.07,0.07161867,0.0781333,0.07792939,,0.08,0.08153263,0.08951382,0.08818,,0.09,0.0948751,0.0988238,0.09487654,,0.1,0.1102681,0.11285953,0.11643095
532,,0.0099999998,0.01084447,0.00767188,0.00862798,,0.02,0.0219322,0.02111668,0.01999501,,0.03,0.03333354,0.0290241,0.02915614,,0.04,0.04496481,0.03967557,0.04227236,,0.05,0.05233271,0.05620966,0.0570637,,0.06,0.06100498,0.06757182,0.06681489,,0.07,0.07156215,0.07713814,0.07721631,,0.08,0.08139233,0.09100112,0.08872923,,0.09,0.0947114,0.09940569,0.09466512,,0.1,0.1100709,0.11171487,0.11543869
533,,0.0099999998,0.01085334,0.00764821,0.00867662,,0.02,0.02194004,0.02100169,0.01995099,,0.03,0.03321257,0.0289968,0.02888577,,0.04,0.04493693,0.03939276,0.04266594,,0.05,0.05230732,0.05594235,0.05670754,,0.06,0.06105938,0.06748334,0.06672445,,0.07,0.07176274,0.07678367,0.07671877,,0.08,0.0810395,0.09170746,0.08866981,,0.09,0.09477945,0.09982742,0.09459258,,0.1,0.10955901,0.11066929,0.11388201
534,,0.0099999998,0.01095615,0.00771419,0.00869896,,0.02,0.02206608,0.02103327,0.0200312,,0.03,0.03306688,0.02914284,0.0290168,,0.04,0.04468266,0.03933608,0.04285982,,0.05,0.0526102,0.05558838,0.05626721,,0.06,0.06116781,0.06741079,0.06668781,,0.07,0.07171459,0.07572864,0.07694642,,0.08,0.08087054,0.09256687,0.08867092,,0.09,0.09473682,0.10068661,0.09482527,,0.1,0.10919535,0.10981621,0.11354627
